riding_code,riding_name,province,projected_winner,Share_LPC,Share_CPC,Share_NDP,Share_BQ,Share_GPC,Share_PPC
35110,Toronto--Danforth,Ontario,LPC,67.5,9.2,19.4,0.0,3.0,0.9
35111,Toronto--St. Paul's,Ontario,LPC,63.8,20.4,10.5,0.0,4.1,1.3
35112,University--Rosedale,Ontario,LPC,62.8,11.6,20.4,0.0,4.3,0.9
35113,Vaughan--Woodbridge,Ontario,CPC,40.7,51.3,4.0,0.0,1.8,2.1
35114,Waterloo,Ontario,LPC,58.0,20.3,15.6,0.0,4.5,1.6
35115,Wellington--Halton Hills North/Wellington--Halton Hills-Nord,Ontario,LPC,42.8,42.1,9.0,0.0,4.0,2.1
35116,Whitby,Ontario,LPC,53.5,35.6,7.1,0.0,2.6,1.2
35117,Willowdale,Ontario,LPC,52.3,36.6,8.1,0.0,2.1,0.9
35118,Windsor--Tecumseh--Lakeshore,Ontario,LPC,45.3,36.1,13.3,0.0,2.8,2.5
35119,Windsor West/Windsor-Ouest,Ontario,NDP,27.8,29.0,39.0,0.0,1.5,2.6
35120,York Centre/York-Centre,Ontario,CPC,42.5,47.2,7.5,0.0,1.4,1.4
35121,York--Durham,Ontario,CPC,37.5,47.7,9.3,0.0,3.0,2.5
35122,York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke,Ontario,LPC,56.1,28.9,11.6,0.0,2.0,1.3
46001,Brandon--Souris,Manitoba,CPC,22.6,52.7,18.4,0.0,3.4,2.8
46002,Churchill--Keewatinook Aski,Manitoba,LPC,46.9,19.9,28.0,0.0,1.7,3.5
46003,Elmwood--Transcona,Manitoba,NDP,24.8,27.6,41.5,0.0,2.7,3.5
46004,Kildonan--St. Paul,Manitoba,LPC,45.2,38.1,11.0,0.0,2.6,3.1
46005,Portage--Lisgar,Manitoba,CPC,25.6,51.0,9.9,0.0,4.6,8.9
46006,Provencher,Manitoba,CPC,30.2,50.4,7.5,0.0,4.2,7.6
46007,Riding Mountain/Mont-Riding,Manitoba,CPC,23.1,58.8,10.8,0.0,3.3,4.0
46008,St. Boniface--St. Vital/Saint-Boniface--Saint-Vital,Manitoba,LPC,61.7,21.3,11.6,0.0,2.6,2.9
46009,Selkirk--Interlake--Eastman,Manitoba,CPC,30.8,52.4,9.6,0.0,3.5,3.7
46010,Winnipeg Centre/Winnipeg-Centre,Manitoba,NDP,36.5,9.8,47.4,0.0,3.4,3.0
46011,Winnipeg North/Winnipeg-Nord,Manitoba,LPC,67.7,14.9,11.9,0.0,2.5,3.1
46012,Winnipeg South/Winnipeg-Sud,Manitoba,LPC,62.2,25.8,6.8,0.0,2.7,2.6
46013,Winnipeg South Centre/Winnipeg-Centre-Sud,Manitoba,LPC,64.4,20.3,10.2,0.0,3.1,2.1
46014,Winnipeg West/Winnipeg-Ouest,Manitoba,LPC,58.3,28.6,7.5,0.0,2.8,2.7
47001,Battlefords--Lloydminster--Meadow Lake,Saskatchewan,CPC,19.9,67.0,8.4,0.0,2.1,2.7
47002,Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,Saskatchewan,CPC,18.8,67.3,8.8,0.0,1.7,3.5
47003,Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,Saskatchewan,LPC,63.1,24.0,9.4,0.0,1.4,2.1
47004,Moose Jaw--Lake Centre--Lanigan,Saskatchewan,CPC,18.6,60.3,11.8,0.0,2.8,6.5
47005,Prince Albert,Saskatchewan,CPC,20.3,65.0,10.3,0.0,1.6,2.8
47006,Regina--Lewvan,Saskatchewan,LPC,42.4,40.2,12.4,0.0,2.7,2.3
47007,Regina--Qu'Appelle,Saskatchewan,CPC,26.9,57.8,10.6,0.0,1.6,3.1
