riding_code,riding_name,province,region,LPC_e,CPC_e,NDP_e,BQ_e,GPC_e,PPC_e,n_obs
35093,Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35094,Scarborough--Guildwood--Rouge Park,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35095,Scarborough North/Scarborough-Nord,Ontario,ON,0.0382,0.5999,0.2996,1.0,0.5734,0.6806,2
35096,Scarborough Southwest/Scarborough-Sud-Ouest,Ontario,ON,0.5062,0.7506,0.8089,1.0,0.889,0.6716,2
35097,Scarborough--Woburn,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35098,Simcoe--Grey,Ontario,ON,1.3622,1.1829,1.2186,1.0,1.6012,1.2156,2
35099,Simcoe North/Simcoe-Nord,Ontario,ON,0.8885,0.5472,1.1125,1.0,1.1729,1.2529,2
35100,Spadina--Harbourfront,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35101,St. Catharines,Ontario,ON,1.1403,0.8394,0.8675,1.0,1.2276,1.1696,2
35102,Stormont--Dundas--Glengarry,Ontario,ON,1.1467,0.7033,0.3301,1.0,0.8958,1.2687,2
35103,Sudbury,Ontario,ON,1.7371,1.9104,1.0649,1.0,1.3011,1.0167,2
35104,Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35105,Taiaiako'n--Parkdale--High Park,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35106,Thornhill,Ontario,ON,0.1717,0.6252,0.4234,1.0,0.828,1.0123,2
35107,Thunder Bay--Rainy River,Ontario,ON,0.9744,0.8573,0.7277,1.0,0.8185,1.1189,2
35108,Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,Ontario,ON,1.1156,0.5851,2.0104,1.0,1.1266,1.0399,2
35109,Toronto Centre/Toronto-Centre,Ontario,ON,1.7155,0.7133,1.7335,1.0,1.4656,0.7122,2
35110,Toronto--Danforth,Ontario,ON,0.8692,0.9567,1.008,1.0,0.9879,0.6798,2
35111,Toronto--St. Paul's,Ontario,ON,1.4355,1.2525,1.006,1.0,1.6261,0.6454,2
35112,University--Rosedale,Ontario,ON,1.4253,1.1263,1.6679,1.0,1.3872,0.6958,2
35113,Vaughan--Woodbridge,Ontario,ON,0.8605,1.6791,0.321,1.0,0.7985,0.9963,2
35114,Waterloo,Ontario,ON,1.3018,1.0813,1.7859,1.0,1.1109,0.8972,2
35115,Wellington--Halton Hills North/Wellington--Halton Hills-Nord,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35116,Whitby,Ontario,ON,0.6228,0.734,0.6853,1.0,0.9184,0.9171,2
35117,Willowdale,Ontario,ON,0.2185,0.4671,0.8637,1.0,1.0728,0.6967,2
35118,Windsor--Tecumseh--Lakeshore,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35119,Windsor West/Windsor-Ouest,Ontario,ON,1.5969,1.0954,1.9311,1.0,0.419,1.352,2
35120,York Centre/York-Centre,Ontario,ON,0.6609,1.1494,0.6893,1.0,0.6594,1.0574,2
35121,York--Durham,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35122,York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
46001,Brandon--Souris,Manitoba,MB_SK,0.9142,0.7356,1.5633,1.0,1.7694,1.105,2
46002,Churchill--Keewatinook Aski,Manitoba,MB_SK,1.1645,0.2199,0.4551,1.0,0.8827,0.7771,2
46003,Elmwood--Transcona,Manitoba,MB_SK,0.8142,1.49,1.3995,1.0,0.8891,0.8983,2
46004,Kildonan--St. Paul,Manitoba,MB_SK,1.0236,0.8321,1.1533,1.0,1.2477,0.8466,2
46005,Portage--Lisgar,Manitoba,MB_SK,0.93,2.078,1.3594,1.0,1.4528,2.3096,2
46006,Provencher,Manitoba,MB_SK,0.8467,2.0628,0.5688,1.0,1.1524,1.8462,2
46007,Riding Mountain/Mont-Riding,Manitoba,MB_SK,1.0,1.0,1.0,1.0,1.0,1.0,0
46008,St. Boniface--St. Vital/Saint-Boniface--Saint-Vital,Manitoba,MB_SK,1.0447,0.8445,1.4524,1.0,1.2703,0.7455,2
46009,Selkirk--Interlake--Eastman,Manitoba,MB_SK,1.0772,0.8437,0.9461,1.0,1.1233,1.0672,2
46010,Winnipeg Centre/Winnipeg-Centre,Manitoba,MB_SK,0.7947,1.0881,1.8162,1.0,1.0619,0.7063,2
46011,Winnipeg North/Winnipeg-Nord,Manitoba,MB_SK,0.7547,1.7658,1.3684,1.0,0.8326,0.7509,2
46012,Winnipeg South/Winnipeg-Sud,Manitoba,MB_SK,0.9211,0.7242,0.6579,1.0,1.0668,0.6647,2
